count,timestamp_local,timestamp_unix,Time [sec],module_address,PIR sensor 00 (center) [V],PIR sensor 01 (tv) [V],PIR sensor 02 (kitchen) [V],PIR sensor 03 (closet) [V],PIR sensor 04 (sofa) [V]
4413,2026-06-23 17:23:39.992,1782203019.992659,179.58607840538025,192.168.11.5,2.1758241653442383,0.004273504484444857,0.7442002296447754,0.7625152468681335,1.5647131204605103
4414,2026-06-23 17:23:40.021,1782203020.021997,179.61541724205017,192.168.11.5,2.1764347553253174,0.0036630036775022745,0.47191697359085083,0.8473748564720154,1.7832722663879395
4415,2026-06-23 17:23:40.049,1782203020.049873,179.64329314231873,192.168.11.5,2.0433454513549805,0.004273504484444857,0.190476194024086,0.9755799770355225,1.9389499425888062
4416,2026-06-23 17:23:40.092,1782203020.092559,179.6859791278839,192.168.11.5,1.8388278484344482,0.004273504484444857,0.014652014710009098,1.1037851572036743,2.046398162841797
4417,2026-06-23 17:23:40.134,1782203020.134476,179.7278962135315,192.168.11.5,1.572649598121643,0.004884005058556795,0.014652014710009098,1.2289377450942993,2.1019535064697266
4418,2026-06-23 17:23:40.165,1782203020.165974,179.75939416885376,192.168.11.5,1.245421290397644,0.13858364522457123,0.014652014710009098,1.3522588014602661,2.1398046016693115
4419,2026-06-23 17:23:40.223,1782203020.223881,179.81730127334595,192.168.11.5,0.8748473525047302,0.6385836601257324,0.011599511839449406,1.4578754901885986,2.1666667461395264
4420,2026-06-23 17:23:40.245,1782203020.245337,179.8387565612793,192.168.11.5,0.4853479862213135,1.068376064300537,0.011599511839449406,1.5641025304794312,2.183150291442871
4421,2026-06-23 17:23:40.297,1782203020.297821,179.8912410736084,192.168.11.5,0.04456654563546181,1.4487179517745972,0.010989011265337467,1.6452991962432861,2.1886446475982666
4422,2026-06-23 17:23:40.327,1782203020.327154,179.92057394981384,192.168.11.5,0.0024420025292783976,1.7405372858047485,0.012210012413561344,1.731379747390747,2.17399263381958
4423,2026-06-23 17:23:40.358,1782203020.358868,179.95228815078735,192.168.11.5,0.0024420025292783976,1.9242979288101196,0.010378510691225529,1.8192918300628662,2.1275947093963623
4424,2026-06-23 17:23:40.405,1782203020.405015,179.99843454360962,192.168.11.5,0.0024420025292783976,1.9487179517745972,0.012210012413561344,1.8956043720245361,2.029304027557373
4425,2026-06-23 17:23:40.453,1782203020.453761,180.0471806526184,192.168.11.5,0.0024420025292783976,1.855311393737793,0.09279609471559525,1.9597069025039673,1.8437118530273438
4426,2026-06-23 17:23:40.488,1782203020.488486,180.08190608024597,192.168.11.5,0.0024420025292783976,1.6623932123184204,0.3266178369522095,1.9877899885177612,1.596459150314331
4427,2026-06-23 17:23:40.535,1782203020.535686,180.12910556793213,192.168.11.5,0.0024420025292783976,1.3406593799591064,0.5409035682678223,1.9938949346542358,1.2967033386230469
4428,2026-06-23 17:23:40.571,1782203020.571038,180.16445803642273,192.168.11.5,0.0024420025292783976,0.9969474673271179,0.7429792284965515,1.966422438621521,0.9700854420661926
4429,2026-06-23 17:23:40.611,1782203020.61163,180.19426584243774,192.168.11.5,0.0024420025292783976,0.6306471228599548,0.9255189299583435,1.9145299196243286,0.6465201377868652
4430,2026-06-23 17:23:40.658,1782203020.658634,180.25154089927673,192.168.11.5,0.0024420025292783976,0.2838827967643738,1.0873016119003296,1.846764326095581,0.3742368817329407
4431,2026-06-23 17:23:40.696,1782203020.69699,180.29040956497192,192.168.11.5,0.01587301678955555,0.007936508394777775,1.2496947050094604,1.764346718788147,0.16544567048549652
4432,2026-06-23 17:23:40.727,1782203020.727928,180.32134795188904,192.168.11.5,0.3748473823070526,0.004273504484444857,1.355311393737793,1.67399263381958,0.03479853644967079
4433,2026-06-23 17:23:40.759,1782203020.759366,180.35278582572937,192.168.11.5,0.7210012078285217,0.005494505632668734,1.4157508611679077,1.57631254196167,0.007936508394777775
4434,2026-06-23 17:23:40.807,1782203020.807242,180.40066170692444,192.168.11.5,1.067155122756958,0.004273504484444857,1.4346764087677002,1.4676434993743896,0.007326007355004549
4435,2026-06-23 17:23:40.844,1782203020.844492,180.43791127204895,192.168.11.5,1.3125762939453125,0.004884005058556795,1.4224663972854614,1.3699634075164795,0.06410256773233414
4436,2026-06-23 17:23:40.902,1782203020.902469,180.49588918685913,192.168.11.5,1.481684923171997,0.004884005058556795,1.3980463743209839,1.283882737159729,0.16239316761493683
4437,2026-06-23 17:23:40.938,1782203020.938236,180.53165578842163,192.168.11.5,1.5799756050109863,0.004884005058556795,1.3754578828811646,1.2045177221298218,0.28327229619026184
4438,2026-06-23 17:23:40.978,1782203020.978404,180.57182335853577,192.168.11.5,1.6129425764083862,0.19780220091342926,1.3632478713989258,1.125763177871704,0.4139194190502167
4439,2026-06-23 17:23:40.999,1782203020.999679,180.59309935569763,192.168.11.5,1.595848560333252,0.593406617641449,1.3815628290176392,1.0451771020889282,0.5409035682678223
4440,2026-06-23 17:23:41.047,1782203021.047471,180.6408908367157,192.168.11.5,1.5702075958251953,0.9536019563674927,1.4145299196243286,0.9829059839248657,0.653235673904419
4441,2026-06-23 17:23:41.120,1782203021.120472,180.71389198303223,192.168.11.5,1.5421245098114014,1.3302807807922363,1.4572649002075195,0.9230769276618958,0.7362637519836426
4442,2026-06-23 17:23:41.159,1782203021.159237,180.7526571750641,192.168.11.5,1.5219780206680298,1.7191697359085083,1.5115995407104492,0.8730158805847168,0.7905982732772827
4443,2026-06-23 17:23:41.172,1782203021.172164,180.76558351516724,192.168.11.5,1.505494475364685,2.1391942501068115,1.5744811296463013,0.8308913111686707,0.8351648449897766
4444,2026-06-23 17:23:41.214,1782203021.214593,180.80801224708557,192.168.11.5,1.4786324501037598,2.1855921745300293,1.6666666269302368,0.7936508059501648,0.8888888955116272
4445,2026-06-23 17:23:41.249,1782203021.249268,180.84268736839294,192.168.11.5,1.4529914855957031,2.1868131160736084,1.7710622549057007,0.7728937864303589,0.937118411064148
4446,2026-06-23 17:23:41.288,1782203021.288748,180.8821680545807,192.168.11.5,1.4114774465560913,2.1862027645111084,1.8858363628387451,0.7496947646141052,0.995726466178894
4447,2026-06-23 17:23:41.320,1782203021.320813,180.91423273086548,192.168.11.5,1.3461538553237915,2.1862027645111084,2.0024421215057373,0.7344322204589844,1.0537240505218506
4448,2026-06-23 17:23:41.378,1782203021.378626,180.97204613685608,192.168.11.5,1.2521367073059082,2.1874237060546875,2.0885226726531982,0.7271062135696411,1.1050060987472534
4449,2026-06-23 17:23:41.418,1782203021.418314,181.01173400878906,192.168.11.5,1.1208791732788086,2.1874237060546875,2.144078254699707,0.7148962020874023,1.134920597076416
4450,2026-06-23 17:23:41.450,1782203021.450667,181.0440866947174,192.168.11.5,0.9713064432144165,2.1862027645111084,2.15262508392334,0.7161172032356262,1.139194130897522
4451,2026-06-23 17:23:41.482,1782203021.482498,181.07591819763184,192.168.11.5,0.8284493088722229,2.1868131160736084,2.0909645557403564,0.7277167439460754,1.109890103340149
4452,2026-06-23 17:23:41.530,1782203021.530567,181.12398719787598,192.168.11.5,0.7197802066802979,2.1862027645111084,1.9462759494781494,0.7411477565765381,1.0598291158676147
4453,2026-06-23 17:23:41.566,1782203021.566322,181.15974116325378,192.168.11.5,0.6813187003135681,2.1862027645111084,1.741147756576538,0.747863233089447,0.9975579977035522
4454,2026-06-23 17:23:41.616,1782203021.616838,181.21025776863098,192.168.11.5,0.7222222089767456,2.1874237060546875,1.5061050653457642,0.7484737634658813,0.9316239356994629
4455,2026-06-23 17:23:41.660,1782203021.660627,181.25404691696167,192.168.11.5,0.8144078254699707,2.18498158454895,1.2759462594985962,0.747863233089447,0.8766788840293884
4456,2026-06-23 17:23:41.690,1782203021.690157,181.27023363113403,192.168.11.5,0.9352869391441345,2.1868131160736084,1.062881588935852,0.7625152468681335,0.8266178369522095
4457,2026-06-23 17:23:41.723,1782203021.723259,181.31667828559875,192.168.11.5,1.0750916004180908,2.1862027645111084,0.8516483306884766,0.7826617956161499,0.8125762939453125
4458,2026-06-23 17:23:41.773,1782203021.773892,181.36731219291687,192.168.11.5,1.21733820438385,1.8498167991638184,0.6904761791229248,0.8107448220252991,0.8156288266181946
4459,2026-06-23 17:23:41.838,1782203021.83891,181.4303011894226,192.168.11.5,1.3577533960342407,1.4304028749465942,0.5555555820465088,0.8339438438415527,0.8321123123168945
4460,2026-06-23 17:23:41.852,1782203021.852923,181.4463427066803,192.168.11.5,1.4926739931106567,0.9383394122123718,0.44810745120048523,0.8620268702507019,0.857753336429596
4461,2026-06-23 17:23:41.890,1782203021.890072,181.48349142074585,192.168.11.5,1.6172161102294922,0.5183150172233582,0.3589743673801422,0.8815628886222839,0.8852258920669556
4462,2026-06-23 17:23:41.937,1782203021.937143,181.53056287765503,192.168.11.5,1.7271062135696411,0.11721611768007278,0.2728937864303589,0.9102563858032227,0.9181929230690002
4463,2026-06-23 17:23:41.986,1782203021.986409,181.57982873916626,192.168.11.5,1.8253967761993408,0.004884005058556795,0.1697191745042801,0.9365079402923584,0.9542124271392822
4464,2026-06-23 17:23:42.000,1782203022.000406,181.59382605552673,192.168.11.5,1.9090354442596436,0.0036630036775022745,0.02808302827179432,0.9627594351768494,1.004273533821106
4465,2026-06-23 17:23:42.048,1782203022.0482,181.6416199207306,192.168.11.5,1.966422438621521,0.004273504484444857,0.01404151413589716,0.9945054650306702,1.066544532775879
4466,2026-06-23 17:23:42.095,1782203022.095085,181.68850469589233,192.168.11.5,2.0048840045928955,0.0036630036775022745,0.010378510691225529,1.019536018371582,1.1422466039657593
4467,2026-06-23 17:23:42.147,1782203022.147007,181.74042677879333,192.168.11.5,2.0122101306915283,0.0036630036775022745,0.013431013561785221,1.0525031089782715,1.21733820438385
4468,2026-06-23 17:23:42.162,1782203022.162608,181.75602746009827,192.168.11.5,1.984737515449524,0.004884005058556795,0.01404151413589716,1.0873016119003296,1.2820513248443604
4469,2026-06-23 17:23:42.209,1782203022.209224,181.8026442527771,192.168.11.5,1.9304028749465942,0.004273504484444857,0.012820512987673283,1.1129425764083862,1.3247863054275513
4470,2026-06-23 17:23:42.247,1782203022.247617,181.84103679656982,192.168.11.5,1.8559218645095825,0.0036630036775022745,0.012820512987673283,1.1330891847610474,1.3492063283920288
4471,2026-06-23 17:23:42.290,1782203022.290354,181.88377356529236,192.168.11.5,1.774114727973938,0.004273504484444857,0.01404151413589716,1.1477411985397339,1.3687423467636108
4472,2026-06-23 17:23:42.347,1782203022.347564,181.94098353385925,192.168.11.5,1.697802186012268,0.005494505632668734,0.15506716072559357,1.1648352146148682,1.384615421295166
4473,2026-06-23 17:23:42.370,1782203022.37024,181.96365976333618,192.168.11.5,1.6233211755752563,0.004273504484444857,0.34188035130500793,1.1678876876831055,1.3980463743209839
